1,Africa Datacenter,John Doe,john.doe@xyz.com,Africa Datacenter,Yes,Yes
2,Africa Direct international Ltd,John Doe,john.doe@xyz.com,Africa Direct international Ltd,Yes,Yes
3,ALBA HOTEL,John Doe,john.doe@xyz.com,ALBA HOTEL,Yes,Yes
4,ALMASI BOTTLERS LIMITED,John Doe,john.doe@xyz.com,ALMASI BOTTLERS LIMITED,Yes,Yes
5,BAKHRESA FOOD PRODUCT LTD,John Doe,john.doe@xyz.com,BAKHRESA FOOD PRODUCT LTD,Yes,Yes
6,BIDCO AFRICA LTD,John Doe,john.doe@xyz.com,BIDCO AFRICA LTD,Yes,Yes
7,BLUE QUADRANT LIMITED,John Doe,john.doe@xyz.com,BLUE QUADRANT LIMITED,Yes,Yes
8,BRITAM HOLDINGS,John Doe,john.doe@xyz.com,BRITAM HOLDINGS,Yes,Yes
9,Britam Life Assurance Co (K) Ltd,John Doe,john.doe@xyz.com,Britam Life Assurance Co (K) Ltd,Yes,Yes
10,Central Bank of Kenya,John Doe,john.doe@xyz.com,Central Bank of Kenya,Yes,Yes
11,CI GROUP LTD,John Doe,john.doe@xyz.com,CI GROUP LTD,Yes,Yes
12,Coca Cola Beverages Africa,John Doe,john.doe@xyz.com,Coca Cola Beverages Africa,Yes,Yes
13,COUNTY GOVERNMENT OF KWALE,John Doe,john.doe@xyz.com,COUNTY GOVERNMENT OF KWALE,Yes,Yes
14,DEL MONTE KENYA LTD,John Doe,john.doe@xyz.com,DEL MONTE KENYA LTD,Yes,Yes
15,DELTA BEVERAGES,John Doe,john.doe@xyz.com,DELTA BEVERAGES,Yes,Yes
16,ESP INTERNATIONAL,John Doe,john.doe@xyz.com,ESP INTERNATIONAL,Yes,Yes
17,EXCEL CHEMICALS,John Doe,john.doe@xyz.com,EXCEL CHEMICALS,Yes,Yes
18,FAIRTRADE AFRICA,John Doe,john.doe@xyz.com,FAIRTRADE AFRICA,Yes,Yes
19,GE HEALTHCARE,John Doe,john.doe@xyz.com,GE HEALTHCARE,Yes,Yes
20,Guaranty Trust Bank (K) Ltd,John Doe,john.doe@xyz.com,Guaranty Trust Bank (K) Ltd,Yes,Yes
21,HURRICANE GLOBAL FM KENYA LTD,John Doe,john.doe@xyz.com,HURRICANE GLOBAL FM KENYA LTD,Yes,Yes
22,ISUZU EA,John Doe,john.doe@xyz.com,ISUZU EA,Yes,Yes
23,JAMBO FOOD PRODUCT,John Doe,john.doe@xyz.com,JAMBO FOOD PRODUCT,Yes,Yes
24,Jetlak Foods Ltd,John Doe,john.doe@xyz.com,Jetlak Foods Ltd,Yes,Yes
25,Kenya Airways,John Doe,john.doe@xyz.com,Kenya Airways,Yes,Yes
26,KENYA COMMERCIAL BANK,John Doe,john.doe@xyz.com,KENYA COMMERCIAL BANK,Yes,Yes
27,Kenya Education Network Trust,John Doe,john.doe@xyz.com,Kenya Education Network Trust,Yes,Yes
28,KENYA REVENUE AUTHORITY,John Doe,john.doe@xyz.com,KENYA REVENUE AUTHORITY,Yes,Yes
29,KENYA WINE AGENCIES LTD,John Doe,john.doe@xyz.com,KENYA WINE AGENCIES LTD,Yes,Yes
30,KINANGOP DAIRY LTD,John Doe,john.doe@xyz.com,KINANGOP DAIRY LTD,Yes,Yes
31,KRONES LCS CENTRE EAST AFRICA,John Doe,john.doe@xyz.com,KRONES LCS CENTRE EAST AFRICA,Yes,Yes
32,MATER HOSPITAL,John Doe,john.doe@xyz.com,MATER HOSPITAL,Yes,Yes
33,Metropol Corporation,John Doe,john.doe@xyz.com,Metropol Corporation,Yes,Yes
34,MP SHAH HOSPITAL,John Doe,john.doe@xyz.com,MP SHAH HOSPITAL,Yes,Yes
35,OLA ENERGY LTD,John Doe,john.doe@xyz.com,OLA ENERGY LTD,Yes,Yes
36,PAWA IT,John Doe,john.doe@xyz.com,PAWA IT,Yes,Yes
37,SOUTHERN STAR SACCO,John Doe,john.doe@xyz.com,SOUTHERN STAR SACCO,Yes,Yes
38,SQUARE PHARMACEUTICALS EPZ,John Doe,john.doe@xyz.com,SQUARE PHARMACEUTICALS EPZ,Yes,Yes
39,ST MATIA MULUMBA,John Doe,john.doe@xyz.com,ST MATIA MULUMBA,Yes,Yes
40,THE SOCIAL HOUSE,John Doe,john.doe@xyz.com,THE SOCIAL HOUSE,Yes,Yes
41,TOTAL ENERGIES LTD,John Doe,john.doe@xyz.com,TOTAL ENERGIES LTD,Yes,Yes
